schema_version,configuration,metric,n,mean,median,std,min,max,ci95_low,ci95_high
2.0,multi_expert_no_critic,rollback,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_critic,contract_violation,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_critic,catastrophic_failure,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_critic,planning_latency_seconds,100,0.02986672002822161,0.029985100030899048,0.005633960417245643,0.01644209958612919,0.05410519987344742,0.028762463786441463,0.030970976270001754
2.0,multi_expert_no_critic,execution_latency_seconds,100,0.013042836040258408,0.012275049462914467,0.004324205933048121,0.006453400477766991,0.03444419987499714,0.012195291677380976,0.01389038040313584
2.0,multi_expert_no_critic,total_latency_seconds,100,0.04401678702794015,0.043221999891102314,0.007406202103771182,0.030833300203084946,0.07068520039319992,0.042565171415601,0.04546840264027931
2.0,multi_expert_no_critic,proposal_count,100,1.68,1.0,1.24,0.0,6.0,1.43696,1.9230399999999999
2.0,multi_expert_no_critic,final_plan_steps,100,1.68,1.0,1.24,0.0,6.0,1.43696,1.9230399999999999
2.0,multi_expert_no_critic,specialist_attribution_rate,100,0.92,1.0,0.2712931993250107,0.0,1.0,0.8668265329322979,0.9731734670677021
2.0,multi_expert_no_critic,critic_decision_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_critic,deterministic_ordering_rate,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_no_critic,trace_completeness_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,problem_detection_f1,100,0.5706666666666667,0.6666666666666666,0.41229115925520404,0.0,1.0,0.4898575994526467,0.6514757338806867
2.0,multi_expert_no_arbiter,route_f1,100,0.34615384615384615,0.4,0.2818647401776676,0.0,0.923076923076923,0.2909083570790233,0.401399335228669
2.0,multi_expert_no_arbiter,appropriate_operation_precision,100,0.5133333333333333,0.5,0.40254744371868073,0.0,1.0,0.4344340343644719,0.5922326323021947
2.0,multi_expert_no_arbiter,unsafe_operation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,protected_column_mutation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,unknown_column_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,redundant_step_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,conflict_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,final_plan_valid,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_no_arbiter,expected_operation_coverage,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_no_arbiter,remaining_expected_operation_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,clean_data_preservation,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_no_arbiter,validation_pass,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_no_arbiter,rollback,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,contract_violation,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,catastrophic_failure,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,planning_latency_seconds,100,0.03698886995203793,0.036628250032663345,0.006491400482029941,0.02299479953944683,0.06784729938954115,0.03571655545756006,0.03826118444651579
2.0,multi_expert_no_arbiter,execution_latency_seconds,100,0.012496685981750489,0.01169055001810193,0.0037454927767187683,0.006337400525808334,0.02925579994916916,0.01176256939751361,0.013230802565987368
2.0,multi_expert_no_arbiter,total_latency_seconds,100,0.050569464033469555,0.04954619985073805,0.007678464222847702,0.03603489976376295,0.07828629948198795,0.0490644850457914,0.05207444302114771
2.0,multi_expert_no_arbiter,proposal_count,100,1.68,1.0,1.24,0.0,6.0,1.43696,1.9230399999999999
2.0,multi_expert_no_arbiter,final_plan_steps,100,1.68,1.0,1.24,0.0,6.0,1.43696,1.9230399999999999
2.0,multi_expert_no_arbiter,specialist_attribution_rate,100,0.92,1.0,0.2712931993250107,0.0,1.0,0.8668265329322979,0.9731734670677021
2.0,multi_expert_no_arbiter,critic_decision_rate,100,0.92,1.0,0.2712931993250107,0.0,1.0,0.8668265329322979,0.9731734670677021
2.0,multi_expert_no_arbiter,deterministic_ordering_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_no_arbiter,trace_completeness_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,problem_detection_f1,100,0.5706666666666667,0.6666666666666666,0.41229115925520404,0.0,1.0,0.4898575994526467,0.6514757338806867
2.0,multi_expert_router_only,route_f1,100,0.34615384615384615,0.4,0.2818647401776676,0.0,0.923076923076923,0.2909083570790233,0.401399335228669
2.0,multi_expert_router_only,appropriate_operation_precision,100,0.5133333333333333,0.5,0.40254744371868073,0.0,1.0,0.4344340343644719,0.5922326323021947
2.0,multi_expert_router_only,unsafe_operation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,protected_column_mutation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,unknown_column_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,redundant_step_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,conflict_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,final_plan_valid,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_router_only,expected_operation_coverage,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_router_only,remaining_expected_operation_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,clean_data_preservation,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_router_only,validation_pass,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_router_only,rollback,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,contract_violation,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,catastrophic_failure,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
