schema_version,configuration,reference,metric,n,mean,median,std,min,max,ci95_low,ci95_high
2.0,multi_expert_oracle_router,multi_expert_full,unsafe_operation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,multi_expert_full,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,multi_expert_full,validation_pass,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,multi_expert_full,total_latency_seconds,100,-0.022867544032633306,-0.02236169995740056,0.0077966109888891475,-0.05574429873377085,0.0015345988795161247,-0.024395679786455578,-0.021339408278811034
2.0,multi_expert_oracle_router,rule_baseline,problem_detection_f1,100,0.4683333333333333,0.33333333333333337,0.42495424590314557,0.0,1.0,0.38504230113631677,0.5516243655303499
2.0,multi_expert_oracle_router,rule_baseline,expected_operation_coverage,100,0.15,0.0,0.3570714214271425,0.0,1.0,0.08001400140028007,0.2199859985997199
2.0,multi_expert_oracle_router,rule_baseline,unsafe_operation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,rule_baseline,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,rule_baseline,validation_pass,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,rule_baseline,total_latency_seconds,100,-0.015295873004943132,-0.014269299805164337,0.007414817139344052,-0.035168900154531,0.01284950040280819,-0.016749177164254565,-0.013842568845631698
2.0,multi_expert_faulty_router,multi_expert_full,problem_detection_f1,100,-0.06896969696969697,0.0,0.5528475613394451,-1.0,1.0,-0.17732781899222821,0.039388425052834256
2.0,multi_expert_faulty_router,multi_expert_full,expected_operation_coverage,100,-0.26,0.0,0.4386342439892262,-1.0,0.0,-0.34597231182188837,-0.17402768817811168
2.0,multi_expert_faulty_router,multi_expert_full,unsafe_operation_proposal_rate,100,0.01,0.0,0.099498743710662,0.0,1.0,-0.009501753767289753,0.02950175376728975
2.0,multi_expert_faulty_router,multi_expert_full,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,multi_expert_full,validation_pass,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,multi_expert_full,total_latency_seconds,100,-0.0037145099882036447,-0.0038660005666315556,0.007066242206420223,-0.043953899294137955,0.015489299781620502,-0.005099493460662009,-0.002329526515745281
2.0,multi_expert_faulty_router,rule_baseline,problem_detection_f1,100,-0.008636363636363638,0.0,0.5704281856358961,-1.0,1.0,-0.12044028802099928,0.103167560748272
2.0,multi_expert_faulty_router,rule_baseline,expected_operation_coverage,100,-0.11,0.0,0.4667976006793523,-1.0,1.0,-0.20149232973315306,-0.01850767026684695
2.0,multi_expert_faulty_router,rule_baseline,unsafe_operation_proposal_rate,100,0.01,0.0,0.099498743710662,0.0,1.0,-0.009501753767289753,0.02950175376728975
2.0,multi_expert_faulty_router,rule_baseline,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,rule_baseline,validation_pass,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,rule_baseline,total_latency_seconds,100,0.0038571610394865273,0.003757000435143709,0.006000911710227857,-0.01831949967890978,0.022025398910045624,0.0026809823442818675,0.005033339734691188
